Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
8.36E+14,Ram Pratap Verma MLA,Ram Pratap Verma MLA,2906,23
1.08E+14,Apna MP,Apna MP,2904,4
3.67E+14,Narayan Medical College & Hospital,Narayan Medical College & Hospital,2902,4
1.02E+14,?????? ????? ?????,?????? ????? ?????,2901,25
1.23E+14,Vasu Dev Yadav,Vasu Dev Yadav,2900,25
1.08E+14,Brandopedia,Brandopedia,2900,8
1.78E+14,Ramniwas Ghorela,Ramniwas Ghorela,2899,4
1.97E+14,Er Nitin Dhobi BJP Bharatpur,MediaTechTemple,2897,1
3.50E+14,FII Institute,These ads ran without a disclaimer,2897,3
5.49E+14,Social Offline,These ads ran without a disclaimer,2896,3
1.88E+15,D Sudhakar,D Sudhakar,2895,4
1.01E+14,Sameer Bhoite,Sameer Bhoite,2894,1
1.86E+15,????????? ???? ?????,????????? ???? ?????,2894,8
1.68E+15,Jitendra Singh Yadav,Jitendra Singh Yadav,2893,14
2.64E+14,Ramniwas Bansal,Ramniwas Bansal,2891,1
7.81E+14,Ravibhau Kadus,Ravibhau Kadus,2889,7
3.12E+14,Anugrah Narayan Singh - Khokha Singh,Samajwadi Party,2887,15
1.28E+14,Digital Mojo,Digital Mojo,2886,1
6.71E+14,LawSikho,These ads ran without a disclaimer,2885,4
2.57E+14,Mansoor Ali Khan,Mansoor Ali Khan,2884,5
3.76E+14,Dr. Rajpal kashyap,Dr. Rajpal kashyap,2878,33
1.06E+14,Hem Singh Shekhawat,Hem Singh Shekhawat,2878,11
1.05E+14,Mitrabhanu Mohapatra- Indian National Congress,Mitrabhanu Mohapatra- Indian National Congress,2878,13
1.10E+14,Fox Aircomm Pvt Ltd,Fox Aircomm Pvt Ltd,2877,5
1.08E+14,Nirmalya Chakraborty,Nirmalya Chakraborty,2877,6
1.03E+14,Sonu Ajaj,Sonu Ajaj,2871,6
1.07E+14,Karan Narendra Bakshi ????? ???????? ?????,Karan Narendra Bakshi ????? ???????? ?????,2868,32
1.02E+14,Kapil Rajak Kp,Kapil Rajak,2867,10
1.69E+11,National Geographic India,These ads ran without a disclaimer,2867,4
1.12E+14,Rakesh Yadav Fazilpur,Royal Digitech,2865,18
8.82E+14,Khabar Odisha,Khabar Odisha,2865,5
1.09E+14,Pravasi Sangh,Pravasi Sangh,2862,5
2.21E+14,Puneet Goel Keshav,Amit Dhariwal,2861,90
1.55E+11,Tage Taki,Suryanetram,2861,7
1.35E+14,Jitendra Verma,Jitendra Verma,2860,7
5.73E+14,MLA Harpal Singh Cheema,MLA Harpal Singh Cheema,2859,3
1.13E+14,Top Dream,These ads ran without a disclaimer,2857,6
1.00E+14,?????? ?????,Marketonic,2857,1
1.22E+17,Trophy Trivia,These ads ran without a disclaimer,2852,1
1.93E+15,Pardeep Lohan,Pardeep Lohan,2852,4
2.08E+14,Shiv Kumar Bansal,Shiv Kumar Bansal,2850,21
1.05E+14,Dr Samir Kagalkar,Dr Samir Kagalkar,2850,9
1.07E+14,44.moles,These ads ran without a disclaimer,2850,2
1.06E+14,Moon Swarnakar,Suryanetram,2847,59
9.93E+14,Rithesh Reddy,Rithesh Reddy,2847,10
3.85E+14,Raghuveer Singh Tanwar,Raghuveer Singh Tanwar,2847,18
1.08E+14,Yogesh Verma,Yogesh Verma,2844,2
1.46E+14,Vinayak Kshirsagar,Vinayak Kshirsagar,2843,16
1.01E+14,MLA Office - Beypore Constituency.,MLA Office - Beypore Constituency.,2841,6
3.35E+14,Asheesh Kumar Singh,Asheesh Kumar Singh,2841,2
1.07E+14,Aman Mishra,Aman Mishra,2839,43
1.04E+14,Fatty & Mza,These ads ran without a disclaimer,2838,1
1.72E+14,Minku Jawandha,Minku Jawandha,2835,1
1.86E+14,Sandeep Tanwar,Sandeep Tanwar,2835,5
5.30E+14,Bhanuben Babariya,Bhanuben Babariya,2833,17
1.01E+14,Atal Amrit Abhiyan Society,Atal Amrit Abhiyan Society,2829,3
1.03E+14,Satya Sena Bharatavarsh,Satya Sena Bharatavarsh,2828,11
3.96E+14,Vinayy Mishra,Vinayy Mishra,2828,13
1.42E+15,Prakash More - ???? ????? ???? ???,Prakash More - ???? ????? ???? ???,2823,6
3.03E+14,Shalini Vivek Sahu,Political Gurukul,2823,24
1.04E+14,SolarTech Renewable Energy Private Limited,These ads ran without a disclaimer,2821,13
1.00E+14,Education Information 2023,These ads ran without a disclaimer,2821,4
3.15E+14,Sachin Kanchhal,Codingclave Technologies,2820,11
1.14E+14,Deepansh Khandelwal,Deepansh Khandelwal,2819,11
1.08E+14,??????? ?? - ????? ?????? ???????,??????? ?? - ????? ?????? ???????,2814,4
4.01E+14,moneyview.in,These ads ran without a disclaimer,2813,2
1.20E+14,Jandhanyojna,These ads ran without a disclaimer,2812,2
1.60E+14,Dk Chaitanya Offical,Dk Chaitanya Offical,2811,1
6.15E+14,Pusp Jain,Bharat P. Talaisha,2811,8
2.35E+14,Team Sachin Chaudhary Hasanpur,Image Vistar Solutions,2805,13
1.04E+14,Lokmat Money,Lokmat Money,2804,4
4.05E+14,Anup Shukla,Anup Shukla,2803,6
1.94E+14,Johar Chhattisgarh,Johar Chhattisgarh,2800,1
3.12E+14,Mallai Sathya,Smashwing Technologies Private Limited,2800,4
2.48E+14,Naman Thakur ajsu,Naman Thakur ajsu,2799,4
2.76E+14,Voice Of Jehanabad,Talkingly Media Private Limited,2798,1
1.01E+14,Kamlesh Uniyal,Kamlesh Uniyal,2797,16
1.03E+14,Apna Mama Ayega,Apna Mama Ayega,2797,3
2.16E+14,Sandhya Anil Firojiya BJP,YD,2796,17
1.07E+14,Pritpal singh pannu,Book My Promo,2794,4
4.21E+14,Sampatiya Uikey,Sampatiya Uikey,2790,2
3.94E+14,Arun Yadav,balakrishnan,2789,8
3.84E+14,MR. KHAN ?,MR. KHAN ?,2788,1
4.05E+14,Project Nanhi Kali,These ads ran without a disclaimer,2788,1
1.11E+14,Dinesh Malik,Dinesh Malik,2785,3
1.10E+14,News Gallery 2,News Gallery 2,2784,6
1.06E+14,?? ???? ???? ????? ??????????? ????? ?????????,?? ???? ???? ????? ??????????? ????? ?????????,2782,7
2.55E+14,JanaSena Polavaram,STAGIONE MEDIA LLP,2777,6
7.53E+14,Visakhapatnam Political News,Visakhapatnam Political News,2777,6
1.04E+11,SMC Global,These ads ran without a disclaimer,2771,1
3.22E+14,TDP Singarapuram,Hapticsad,2769,3
1.91E+15,Baburao Chigurupati,Baburao Chigurupati,2769,4
1.11E+14,Kiasco online,Kiasco online,2768,2
8.62E+14,PriyaTirupati,ManaTirupati - ManaAbhinay,2768,7
1.53E+15,A BDinesh,A BDinesh,2766,13
1.82E+14,Sunny Malik,Sunny Malik,2766,2
1.12E+14,Manish Narayan Chaurasia,Manish Narayan Chaurasia,2762,3
8.96E+14,Girish Varma,Girish Varma,2759,18
4.28E+14,Arjit Shashwat Choubey,Arjit Shashwat Choubey,2759,1
3.25E+14,Sudhakara Reddy Eda,One Click,2758,25
1.01E+14,Arun Singh - ???? ????,Arun Singh - ???? ????,2756,3
2.29E+14,???? ????? ?? ????????,The Social Prachar,2755,21
1.10E+14,Sahayam,Sahayam,2753,21
8.61E+14,Shankar Hiraman Mandekar,Prolifique Media,2752,3
2.43E+14,Suresh Borah ????? ???,Suresh Borah ????? ???,2752,6
1.09E+14,Divyanshu Mishra-Anshu,Divyanshu Mishra-Anshu,2752,18
1.01E+14,Rising Odisha,Rising Odisha,2750,4
1.07E+14,Bodh Raj Sikri,Pryzm Media,2749,18
1.09E+14,Prathap Reddy Talapuru,Prathap Reddy Talapuru,2748,8
5.94E+14,Excellence in the Community,These ads ran without a disclaimer,2747,1
9.37E+14,Vinod Anna - Karimnagar,Vinod Anna - Karimnagar,2745,2
1.07E+14,Dr G Anuhya Reddy,Dr G Anuhya Reddy,2736,4
2.02E+14,??????? ??????,??????? ??????,2735,4
1.06E+14,Sahityalok,Sahityalok,2735,7
1.03E+14,??? ??????,??? ??????,2733,4
1.01E+14,Nallapati Ramu,Nallapati Ramu,2732,50
4.16E+14,Ashok Majumder,Ashok Majumder,2728,11
1.01E+14,INC Hubli-Dharwad Indian National Congress Karnataka,INC Hubli-Dharwad Indian National Congress Karnataka,2727,4
1.03E+14,Telugu Desam Party: Mantralayam,Telugu Desam Party,2727,6
1.08E+14,Anjana Mahipal Yadav,Anjana Mahipal Yadav,2724,8
2.72E+14,Kanchi Deserves Better MP,3 Monks Digital,2722,6
1.77E+14,Balasaheb Murkute ????????? ???????,Balasaheb Murkute ????????? ???????,2720,3
2.59E+14,??? ????? ???,Digiway EMedia Solutions Private Ltd,2716,18
2.04E+14,BJP Haveri - ?????? ??????,BJP Haveri - ?????? ??????,2715,4
7.74E+14,Poornima tiwari,Poornima tiwari,2714,4
3.18E+14,ITDP Kuppam,ITDP Kuppam,2712,11
1.02E+14,Khari Baat News,Khari Baat,2706,16
6.25E+14,????????? ???? ???????,????????? ???? ???????,2705,2
2.72E+14,Ghulam Ahmad Mir,Ghulam Ahmad Mir,2704,4
1.05E+14,Asha Maurya MLA,Asha Maurya MLA,2704,7
1.91E+14,Pen pencil ka job Ghar baithe kar sakte ho 15000 advance 30000 salary,These ads ran without a disclaimer,2704,1
1.03E+14,???? ???????? ???????????,???? ???????? ???????????,2703,3
1.43E+14,Mother,Mother,2702,2
2.93E+14,Harekrushna for Puri,Harekrushna for Puri,2702,5
1.82E+15,????????? ??????,????????? ??????,2700,2
1.01E+14,Maddipati Yuvasena,Maddipati Yuvasena,2700,2
4.12E+14,Karamjit Singh Rintu,Karamjit Singh Rintu,2699,20
1.43E+14,???? ?????? ????,???? ?????? ????,2697,37
2.04E+14,Vasudev Devnani,Vasudev Devnani,2697,35
1.62E+14,????????? ????? ???????,????????? ????? ???????,2695,5
2.71E+14,D5 Health,D5 Channel,2695,2
1.08E+14,?????? ?? ????,?????? ?? ????,2693,2
6.84E+14,HSBC,These ads ran without a disclaimer,2691,8
1.45E+15,Anbu Kundadam,Anbu Kundadam,2687,25
1.11E+14,KPTCL - ??????????,KPTCL - ??????????,2685,1
1.16E+14,Harsh Ajmera - ???? ??????,Harsh Ajmera - ???? ??????,2684,7
2.61E+14,Sangli Elections,Sangli Election,2683,7
1.56E+14,????? ??? Bhatti Dhalam,????? ??? Bhatti Dhalam,2683,3
1.02E+14,?? ????? ????? ?????,All Axis Media,2682,2
1.07E+14,Omprakash bijarnia netarwas BJP,Omprakash bijarnia netarwas BJP,2680,3
5.15E+14,Omprakash Rajbhar,Omprakash Rajbhar,2680,7
2.77E+14,Swatantra Dev Fans,Saffron Media Group,2680,1
7.65E+14,Varinder Shah - Bulle Shah,Big Boys Consulting Private Limited,2678,2
1.03E+14,Dushyant Raj Singh Chundawat Chittorgarh,Dushyant Raj Singh Chundawat Chittorgarh,2677,7
1.03E+14,Satya Hunkar News,Satya Hunkar News,2676,38
9.11E+14,Anand Paranjpe,Anand Paranjpe,2675,2
1.05E+14,Baliram Siraskar,Baliram Siraskar,2675,9
2.40E+14,Dr. Alok Kumar Suman,Dr. Alok Kumar Suman,2674,6
4.38E+14,Anand Sagar,Anand Sagar,2673,12
1.00E+14,Rajeev Kumar,Rajeev Kumar,2671,1
4.65E+14,Chetan Singh Bragta,Chetan Singh Bragta,2670,9
1.02E+14,Atul Agrawal,Atul Agrawal,2667,1
2.86E+14,Ejya Yadav,Easy Social,2664,3
5.64E+14,Pranab Prakash Das,Pranab Prakash Das,2663,2
8.17E+14,Youth Express,Youth Express,2663,3
1.06E+14,??????????? - ?????? ?????? ???????,??????????? - ?????? ?????? ???????,2662,1
9.60E+14,Way2News ?????? / Telugu,These ads ran without a disclaimer,2662,1
1.02E+14,Rakesh Sharma,Rakesh Sharma,2662,32
2.77E+14,Unnati Social Foundation,Unnati Social Foundation,2654,2
3.70E+14,Daawat The Finest,These ads ran without a disclaimer,2653,1
1.18E+14,TeachingEnglish - British Council,These ads ran without a disclaimer,2652,1
3.13E+14,Mohar Singh,individual,2652,16
1.06E+14,Envirocare Foundation,Envirocare Foundation,2649,7
1.51E+15,Om Prakash Rai,Om Prakash Rai,2647,4
1.11E+14,Goyal Bhatt,Goyal Bhatt,2647,18
1.04E+14,Shree Krishan Kalanaur,Shree Krishan Kalanaur,2643,22
9.70E+14,Shankar koranga,Unikudos Softwares,2640,9
2.46E+14,????? ?? ?????? - ????? ??????,Brandingdoor,2638,7
1.68E+14,Manoj Singh Bhatti,Manoj Singh Bhatti,2638,29
2.37E+14,Team Sachin Chaudhary Dhanora,Image Vistar Solutions,2634,19
1.31E+15,Ex Mayor Ramteerth Singhal,Ex Mayor Ramteerth Singhal,2634,8
1.11E+14,Prahlad saini Bonli,Prahlad saini Bonli,2633,34
6.93E+14,Dushyant Chautala,Dushyant Chautala,2631,2
1.66E+15,Shailendra singh Bisht,Shailendra singh Bisht,2628,30
1.45E+14,Equity Analysis Group,These ads ran without a disclaimer,2627,1
4.44E+14,???????? ?????-???????,???????? ?????-???????,2627,11
1.01E+14,Ashwani Sharma Pare BJP,Ashwani Sharma Pare BJP,2627,3
1.02E+14,Uday Bhanu Chib,Uday Bhanu Chib,2627,3
1.15E+14,Virender Singh Yadav -???? ???????,Virender Singh Yadav -???? ???????,2627,24
3.12E+14,??????? ?????,??????? ?????,2625,4
1.35E+14,KUMAR RAJA ARMY,KUMAR RAJA ARMY,2624,15
2.33E+14,Y. Venkatarama Reddy Gooty Followers,Code Collaborate,2623,5
1.56E+15,SNSMT,SNSMT,2614,14
1.15E+14,Vinod Kumar Singh,Vinod Kumar Singh,2610,9
1.05E+14,???? ?? ??? ?? ??? ???? ?? ??? ???,???? ?? ??? ?? ??? ???? ?? ??? ???,2609,4
2.38E+14,Gobardanga'r Gorbo Mamata,Gobardanga'r Gorbo Mamata,2606,9
2.28E+14,Brajendra Singh Bhojla,Brajendra Singh Bhojla,2604,15
1.07E+14,Navin Kumar,Navin Kumar,2602,26
7.55E+14,Thakur Sanjay Singh,Thakur Sanjay Singh,2601,30
1.22E+14,??????????? ????,??????????? ????,2601,1
1.01E+14,Jayceon Black,These ads ran without a disclaimer,2601,4
1.09E+14,Srinivasa Reddy Reddeppagari,Srinivasa Reddy Reddeppagari,2599,10
7.73E+14,????? ????? ??????,digitalprachar,2598,21
2.97E+14,Nishank Tripathi BJP,Nishank Tripathi BJP,2595,16
1.03E+14,Narendra Singh Yadav,Narendra Singh Yadav,2595,9
1.01E+14,????? ??????,Jaipur Digital Media,2594,9
8.36E+14,Nauman Murtaza,Nauman Murtaza,2593,4
2.27E+15,Kotapati Janardhana Rao,Kotapati Janardhana Rao,2592,4
1.10E+14,???????????? ?????????????? ????????,???????????? ?????????????? ????????,2591,4
2.42E+14,Pemmasani Forever,Godavari Abroad,2591,5
1.02E+14,Sanjay Seth,Sanjay Seth,2591,13
1.10E+14,Shailesh Trivedi Fan Club,The VoloPV,2590,6
1.07E+14,Jayashri Sunil Mahajan,Mrudang India,2587,5
7.43E+14,Kapil Dev Aggarwal,Kapil Dev Aggarwal,2585,4
6.57E+14,"DC Ganderbal, J&K","DC Ganderbal, J&K",2584,5
2.86E+14,__king___0029,These ads ran without a disclaimer,2584,1
1.04E+14,Rohilkhand Cancer Institute,Digital Nexus Media Pvt. Ltd.,2582,2
1.42E+11,ITRI Taiwan,These ads ran without a disclaimer,2581,1
4.58E+14,????? ?????? ???? ?? ???? ?????? ???????,????? ?????? ???? ?? ???? ?????? ???????,2578,22
1.46E+14,Chintala Ramachandra Reddy,Chintala Ramachandra Reddy,2576,16
8.52E+14,J&K PDP URI,J&K PDP URI,2575,6
1.85E+15,Everything ??????,Everything ??????,2571,8
1.00E+14,MD Kalam,MD Kalam,2571,3
3.64E+14,Shankar Chaudhary,Shankar Chaudhary,2570,18
1.07E+14,?????? ???? ???????,?????? ???? ???????,2568,3
1.02E+14,Uni Keychains,Uni Keychains,2565,8
2.18E+15,Sakarni plaster,Sakarni plaster,2562,7
1.07E+14,Pardeep Mor,Pardeep Mor,2561,9
2.52E+14,RK Singh Patel Banda - Chitrakoot FanClub,SPTM Media,2559,23
1.08E+14,Slots of Dreams,These ads ran without a disclaimer,2557,1
7.44E+14,Mitendra Darshan Singh,Mitendra Darshan Singh,2556,31
1.47E+15,CPI.M Muvattupuzha Area Committee,CPI.M Muvattupuzha Area Committee,2556,1
7.57E+14,Mohali City,Shourya India,2554,2
1.16E+14,Abhiram Singh,Abhiram Singh,2554,4
1.57E+14,Equanimity accurate enlighten,These ads ran without a disclaimer,2553,1
1.02E+14,Mandumula Rajitha Parmeshwar Reddy,Mandumula Rajitha Parmeshwar Reddy,2553,6
1.43E+15,Rajeshwari Ex MLA,Rajeshwari Ex MLA,2552,9
1.21E+14,???? ??????? KA 28,???? ??????? KA 28,2552,10
1.06E+14,Samman afroz khan,Samman afroz khan,2551,2
3.36E+14,Mandumula Parmeshwar reddy,Mandumula Parmeshwar reddy,2544,6
1.01E+14,Chilakam Madhusudhan Reddy,Chilakam Madhusudhan Reddy,2544,5
3.15E+14,Keonjhar Loka Sabha Narendra Modi Fan Club,EASY TECHNOLOGIES PVT LTD,2542,7
1.30E+15,Rooparam Saran Bmr,Rooparam Saran Bmr,2542,6
1.32E+15,N1 Live Chandigarh,N1 Live Chandigarh,2542,2
2.31E+14,Pushpendra Singh,Pushpendra Singh,2542,1
1.21E+14,sallu,sallu,2542,2
1.04E+14,Sandeep Lot Narwana,Sandeep Lot Narwana,2542,3
3.20E+14,????? ????? ???? ?????,webnexon technologies,2542,1
5.00E+14,CREDAI Solapur,CREDAI Solapur,2542,1
2.02E+15,AVN Bajaj,AVN Bajaj,2542,1
3.22E+14,Prabhu Jani - BJD,ClickUptel Solutions Pvt Ltd,2542,4
2.78E+14,All India Arya Mahasabha,All India Arya Mahasabha,2542,4
1.03E+14,Hello Minister,Hello Minister,2542,5
3.21E+14,Mukesh Patel,Mukesh Patel,2541,3
2.40E+14,????? ??????-?????,????? ??????-?????,2541,3
1.22E+15,Velliyakulam Parameswaran,Velliyakulam Parameswaran,2540,2
3.59E+14,Padma Kumar,Padma Kumar,2540,1
1.04E+14,Satpal Brahmchari,Satpal Brahmchari,2539,13
1.08E+14,??????? ???????,??????? ???????,2536,30
1.98E+14,??? ???? ???? Page,??? ???? ???? Page,2536,2
4.98E+14,Sharnabasappa Gowda Darshanapur,Sharnabasappa Gowda Darshanapur,2535,3
1.72E+14,Manipal Hospitals,These ads ran without a disclaimer,2533,11
2.64E+14,Pranat Tudu,Pranat Tudu,2532,3
1.16E+14,Harish Meena INC,Harish Meena INC,2531,6
3.59E+14,Sheohar ???????,Sheohar ???????,2531,8
1.62E+15,Pyala Prasada Rao,Pyala Prasada Rao,2528,10
9.77E+14,Anumula Revanth Reddy,Anumula Revanth Reddy,2527,3
2.20E+14,Sunit Shukla,Sunit Shukla,2527,2
1.63E+15,Dilpreet Singh DP,Dilpreet Singh DP,2525,30
2.93E+14,All India School Cricket Association,All India School Cricket Association,2525,2
2.53E+14,Sajan Sadanandan,Sajan Sadanandan,2525,2
1.05E+14,????? ????? ????,????? ????? ????,2525,18
2.35E+14,Bramhdev Yadav Deva,Bramhdev Yadav Deva,2524,2
1.07E+14,????-???? ?? ??????,????-???? ?? ??????,2523,4
1.05E+14,Narender Solanki,Narender Solanki,2519,30
7.60E+14,Mohitt Goell,Mohitt Goell,2519,17
1.03E+14,"34th Ward Corporator, Guntur","34th Ward Corporator, Guntur",2518,26
2.86E+14,love_guru_vikram_shastri_ji_21,These ads ran without a disclaimer,2517,1
1.54E+15,Muneer Mir,Muneer Mir,2516,8
1.28E+14,Kapil Gupta,Solh Wellness Private Limited,2515,29
1.00E+14,Lekha Jokha Maharashtracha - ???? ???? ?????????????,??? ?????? -  Maha Bighadi,2515,2
6.85E+14,Mohd.AsifZaki,Mohd.AsifZaki,2511,4
1.10E+14,Telugu Desam Party: Puthalapattu,Telugu Desam Party: Puthalapattu,2510,6
2.29E+14,"?? ?????? ?????, ???????? ?????","?? ?????? ?????, ???????? ?????",2509,1
1.12E+14,Arpit Das Ji Maharaj,Arpit Das Ji Maharaj,2508,72
1.15E+14,BJP Madha Vidhansabha,BJP Madha Vidhansabha,2508,1
1.89E+14,Radha Mohan Singh Office,Radha Mohan Singh Office,2506,1
5.55E+14,Monika Meena Mrs India Worldwide popular 2018,Monika Meena Mrs India Worldwide popular 2018,2500,1
1.42E+14,Team Harender Singhal - THS,Team Harender Singhal - THS,2500,1
3.05E+14,AIS Windows,These ads ran without a disclaimer,2500,1
2.07E+15,Naveen Nischal,Naveen Nischal,2500,2
2.92E+14,Danam Nagender,Rastra,2500,10
1.13E+14,Robin Kumar Sampla,Robin Kumar Sampla,2500,1
2.61E+14,??????? ??????? ??????,EES WEB,2500,5
1.09E+14,Debasish Panigrahi,Debasish Panigrahi,2500,1
2.03E+14,Selfy Lingualigner,Selfy Lingualigner,2500,1
2.56E+14,Dr. Menka Devi Singh Fans,Dr Menka Devi Singh,2500,2
1.02E+14,Swati Vira Mahajan,Swati Vira Mahajan,2500,8
3.84E+14,Thopudurthi Prakash Reddy Charitable Trust,Thopudurthi Prakash Reddy Charitable Trust,2500,2
2.27E+14,Praveen Khandelwal,These ads ran without a disclaimer,2500,1
1.05E+14,Pratibha Singh,Pratibha Singh,2500,1
1.14E+14,Ankur Sangwan,Ankur Sangwan,2499,11
1.04E+14,Telugu Desam Party: Sattenapalle,Telugu Desam Party,2495,9
1.42E+15,Ramniwas Bansal,Ramniwas Bansal,2495,4
2.32E+14,Roopstah Rhymes,Roopstah Rhymes,2494,2
2.14E+14,Parikshit Abhimanyu Pawar,Parikshit Abhimanyu Pawar,2490,9
1.45E+14,My Bhubaneswar,My Bhubaneswar,2489,34
6.83E+14,"??????? ??? ?????????, MLA","??????? ??? ?????????, MLA",2484,2
2.64E+14,Lucknow Savera,HHN SERVICES PRIVARE LIMITED,2482,1
2.95E+14,TejasviSurya Fanpage,Rea Digitals,2482,4
4.14E+14,R P Abhilash,R P Abhilash,2481,1
2.12E+15,Click2Public Technologies OPC Private Limited,Click2Public Technologies OPC Pvt. Ltd.,2478,3
8.26E+14,Girish Khatri,Virtual Media,2478,11
1.11E+14,Abhijeet Singh Sanga,Abhijeet Singh Sanga,2476,10
3.51E+14,Lokmat Nashik,Lokmat Nashik,2475,2
1.11E+14,BJP Sikkim - Mahila Morcha,BJP Sikkim - Mahila Morcha,2475,5
1.32E+15,Dr.Uma Shankar,Dr.Uma Shankar,2474,1
2.74E+14,Apna Bihar,Real Social,2474,3
2.21E+14,Shashank Singh Arya,Shashank Singh Arya,2474,17
1.04E+15,Rahul Bachcha,Rahul Bachcha,2474,3
2.28E+14,89.6 FM SIKAR,89.6 FM SIKAR,2472,4
1.04E+14,Narendra Jichkar,Narendra Jichkar,2471,32
4.77E+14,Rajesh Naik U,Rajesh Naik U,2470,20
3.96E+14,We Support Dushyant Singh,We Support Dushyant Singh,2470,11
9.83E+14,Bollisetti Srinivas,Bollisetti Srinivas,2469,7
2.75E+14,Nayab Saini,Nayab Saini,2468,4
9.30E+14,Abhishek Mahananda,Abhishek Mahananda,2466,13
6.40E+14,Neeraj Singh,Neeraj Singh,2466,4
4.14E+14,Pritam J Mhatre,Pritam J Mhatre,2465,31
1.01E+14,?????????????? ?????????? - ?????? ????,?????????????? ?????????? - ?????? ????,2463,21
1.23E+14,Gurbaj Singh,Gurbaj Singh,2463,13
1.01E+14,Sagar Namdev Alhat,Sagar Namdev Alhat,2462,19
2.50E+14,Jai Krishan Singh Rouri,Jai Krishan Singh Rouri,2461,7
1.00E+14,Parimalsinh Rana,Parimalsinh Rana,2458,32
1.38E+15,Ganni veeranjaneyulu,Ganni veeranjaneyulu,2458,1
2.90E+14,Akhila Akhila,Celebdigital,2456,5
1.01E+14,Apurba Sarkar David,Apurba Sarkar David,2455,27
1.37E+15,MLC Dr. NK Yadav,MLC Dr. NK Yadav,2454,7
5.69E+14,City Headlines,City Headlines,2453,36
1.31E+14,Kashiram Vechan Pawara,Kashiram Vechan Pawara,2453,10
4.28E+14,??????????? ??????,These ads ran without a disclaimer,2452,1
1.11E+14,Ufos World,Ufos World,2450,2
1.88E+15,Debraj Chakraborty,Debraj Chakraborty,2449,3
1.53E+15,Dulal Chandra Goswami,Lemon Dot Media Private Limited,2449,12
1.03E+14,Daud Ahmad,Daud Ahmad,2448,2
3.43E+14,Jayant Atbhaiya,Jayant Atbhaiya,2446,6
2.89E+14,Palaparthi Vijesh Raj,Palaparthi Vijesh Raj,2441,6
2.49E+14,voicecracy,voicecracy,2441,3
6.67E+14,Jagga Majithia,Jagga Majithia,2441,7
1.06E+14,The Social Media Mall,Himanshu Goel,2440,6
2.66E+14,?????- ????? ??????? ??,?????- ????? ??????? ??,2440,29
1.87E+14,Nur Aidah Febriyani,These ads ran without a disclaimer,2440,3
4.67E+14,Manvendra Singh,Manvendra Singh,2439,2
1.49E+15,Ujjwal Deepak,Ujjwal Deepak,2438,2
1.14E+14,Nattasha Sharrma,Nattasha Sharrma,2434,26
2.94E+14,Voiceofyouthmentadaysrcp,Starlight Media Solutoins,2434,4
1.04E+14,??? ????? ????? ????????,??? ????? ????? ????????,2433,18
1.15E+14,Sreekanth Reddy Mylam,Sreekanth Reddy Mylam,2430,2
1.23E+15,BJP Dhenkanal,BJP Dhenkanal,2430,2
1.05E+14,??? ???-????? ???,??? ???-????? ???,2430,13
1.19E+14,Channel 1 India,Channel 1 India,2429,9
9.89E+14,Suraj Kero,Suraj Kero,2428,32
2.64E+14,Akshay Sharma,Akshay Sharma,2428,8
1.38E+14,Manoj Shukl,Manoj Shukl,2427,3
1.01E+14,Bubu Sinha Biju Janata Dal,Bubu Sinha Biju Janata Dal,2425,15
2.35E+14,Mahesh Kumar Dhaka,Mahesh Kumar Dhaka,2425,38
1.09E+14,Dr Abhishek  Ramadhin,Dr Abhishek  Ramadhin,2423,1
1.06E+14,We Support BJP,We Support BJP,2423,2
1.09E+14,Bikram Panda,Bikram Panda,2423,11
1.46E+15,??????? ???,Bharat Matters,2421,8
1.02E+14,Sumita Poddar Gupta,Sumita Poddar Gupta,2419,5
7.19E+14,Ramesh Agrahari,Ramesh Agrahari,2415,106
1.04E+14,Neelam,Neelam,2415,13
1.21E+14,AF Creations,AF Creations,2415,3
1.99E+14,Poonambenmpjamnagar,Ed Meta,2414,14
1.44E+15,Narendra singh Rajput Khader,Narendra singh Rajput Khader,2414,15
1.09E+14,Ali Mehar,Ali Mehar,2413,8
1.51E+14,Sameer Mhatre - ???? ????????,Sameer Mhatre - ???? ????????,2409,9
1.10E+14,Mayank Bairwa,Mayank Bairwa,2409,13
1.06E+14,Rohtak Aaj Kal,????? ?? ????,2406,3
1.05E+14,Dewa gupta,Dewa gupta,2406,8
1.05E+14,Nagar Badaltay,Nagar Badaltay,2404,14
2.93E+14,Siva Prasad Reddy Rachamallu,Scroll Ahead Private Limited,2403,6
1.22E+17,Nandita Das,Nandita Das,2402,9
2.33E+14,Gaurav Yadav,Help Together Group,2401,30
3.11E+14,Sant Atulanand Residential Academy,Promotion Paradise Pvt Ltd,2400,4
8.41E+14,Shubham Shrivastava,Shubham Shrivastava,2400,3
1.45E+15,Urban Marketo,Urban Marketo,2400,8
1.41E+15,Vikas P,Vikas P,2400,1
3.83E+14,"Chief Electoral Officer, Andhra Pradesh","Chief Electoral Officer, Andhra Pradesh",2400,5
2.59E+15,Morena Sheopur Ki Awaz ??????- ??????? ?? ????,Morena Sheopur Ki Awaz ??????- ??????? ?? ????,2399,18
1.95E+15,Koppula Eshwar,Koppula Eshwar,2396,6
1.51E+14,Virender Babbar,Virender Babbar,2396,1
2.47E+14,Samwell AI,These ads ran without a disclaimer,2394,1
